"Project: Project Name","Stage Reason","Dealertrack ID","Start Date","Service Account(s) (DMKT)","Service Account (DMKT)"
"BOA - MARYLAND - Koons Chevrolet Buick GMC","RouteOne","904734","3/29/2019","",""
"BOA - NEBRASKA - JANSSEN FORD OF YORK","DT Enrollment Needed","905747","10/15/2019","",""
"BOA - GEORGIA - Jimmy Britt Chevrolet Buick","RouteOne","912888","6/28/2019","",""
"BOA - GEORGIA - Jimmy Britt Chrysler Dodge Jeep Ram","RouteOne","914961","4/6/2018","",""
"BOA - NORTH CAROLINA - Asheville Ford","DMKT - Prod - Client Non-Responsive","917284","6/21/2019","",""
"BOA - WISCONSIN - Marthaler Chevrolet Buick of Minocqua","DT Enrollment Needed","919638","3/10/2020","marthalerchevroletbuickgmclend",""
"BOA - OHIO - Wapak Ford","RouteOne","922125","3/12/2019","",""
"BOA - NEW MEXICO - Nissan of Las Cruces","Inventory Delay","925783","9/26/2019","nissanoflascruceslend","nissanoflascruceslend"
"BOA - GEORGIA - Ford of Dalton","RouteOne","927190","10/22/2018","","ofdaltonfordfd"
"BOA - GEORGIA - Gerald Jones Subaru Volvo","Failure to Launch","930441","8/30/2019","",""
"BOA - INDIANA - Champion Chevrolet","RouteOne","930610","10/22/2018","",""
"BOA - CA - BMW of Vista - Project -","AutoNation","934223","11/13/2017","",""
"BOA - NEW YORK - Nye Toyota","DT Enrollment Needed","934978","4/6/2020","nyetoyotasciononeidalend",""
"BOA - GA - SHOTTENKIRK FORD - Project -","RouteOne","938865","9/27/2017","",""
"BOA - OKLAHOMA - Land Rover Tulsa","DMKT - Prod - Reason (noted/explained in DNA ticket)","939882","11/21/2019","",""
"BOA - CALIFORNIA - Keyes Woodland Hills Buick GMC Cadillac","DT Enrollment Needed","939935","5/29/2019","",""
"BOA - CALIFORNIA - Lamborghini Newport Beach and McLaren Newport Beach","Inventory Delay","940917","9/20/2019","",""
"BOA - TEXAS - Doggett Ford","RouteOne","943774","6/21/2019","",""
"BOA - PENNSYLVANIA - Koch Bethlehem Ford","RouteOne","943798","8/15/2018","",""
"BOA - MD - Jaguar Land Rover Bethesda - Project -","AutoNation","952792","11/13/2017","",""
"BOA - TEXAS - Bayway Cadillac of The Woodlands","RouteOne","958955","5/2/2019","",""
"BOA - ILLINOIS - TAYLOR FORD OF MANTENO","RouteOne","961427","1/30/2019","",""
"BOA - CONNECTICUT - Carvana - Hartford","Inventory Delay","963553","3/27/2020","carvanasouthwindsorlend",""
"BOA - FLORIDA - Carvana - Miami","Inventory Delay","963554","3/27/2020","carvanahialeahlend",""
"BOA - KENTUCKY - Carvana - Jeffersontown","Inventory Delay","963562","3/27/2020","carvanajeffersontownlend",""
"BOA - CALIFORNIA - Carvana - Los Angeles","Inventory Delay","964735","3/27/2020","carvanamontclairlend",""
"BOA - MARYLAND - Carvana - Gambrills","Inventory Delay","964739","3/27/2020","carvanagambrillslend",""
"BOA - MICHIGAN - Carvana - Eastpointe","Inventory Delay","964744","3/27/2020","carvanaeastpointelend",""
"BOA - MISSOURI - Carvana - St Peters (S/B STL)","Inventory Delay","964746","3/27/2020","carvanastpeterslend",""
"BOA - NEW JERSEY - Carvana - Passaic","Inventory Delay","964748","3/27/2020","carvanapassaiclend",""
"BOA - NEW MEXICO - Carvana - Moriarty","Inventory Delay","964750","3/27/2020","carvanamoriartylend",""
"BOA - NEW YORK - Carvana - Deer Park","Inventory Delay","964751","3/27/2020","carvanadeerparklend",""
"BOA - OHIO - Carvana - Cincinnati","Inventory Delay","964754","3/27/2020","carvanacincinnatilend",""
"BOA - OHIO - Carvana - Cleveland","Inventory Delay","964755","3/27/2020","carvanaeuclidlend",""
"BOA - PENNSYLVANIA - Carvana - North Versaille","Inventory Delay","964760","3/27/2020","carvananorthversailleslend",""
"BOA - VIRGINIA - Carvana - Chesapeake","Inventory Delay","964772","3/27/2020","carvanachesapeakelend",""
"BOA - CALIFORNIA - Piercey Honda","RouteOne","965933","1/31/2019","",""
"BOA - OREGON - COLUMBIA GORGE HONDA","RouteOne","966743","7/16/2019","",""
"BOA - OHIO - Schoner Chevrolet","RouteOne","967293","9/24/2019","",""
"BOA - AZ - BMW of Tucson - Project -","AutoNation","968067","11/13/2017","",""
"BOA - OREGON - Columbia Gorge Toyota","DT Enrollment Needed","973383","8/29/2019","",""
"BOA - MINNESOTA - House Chrysler Ford of Red Wing","RouteOne","976679","12/3/2019","","housefordchryslerdodgejeeplend"
"BOA - NEW JERSEY - Hamilton Honda","DMKT - Prod - Reason (noted/explained in DNA ticket)","977200","10/9/2019","",""
"BOA - MISSOURI - AUTO PLAZA CHRYSLER DODGE JEEP","Failure to Launch","979549","7/5/2019","",""
"BOA - MINNESOTA - Lundeen Brothers Inc","RouteOne","979935","6/11/2019","",""
"BOA - CALIFORNIA - Future Chrysler Dodge Jeep RAM of Concord","DT Enrollment Needed","984806","4/6/2020","",""
"BOA - WA - Audi Bellevue - Project -","AutoNation","989250","11/13/2017","",""
"BOA - WA - Mercedes Benz of Bellevue - Project -","AutoNation","989251","11/13/2017","",""
"BOA - WA - Porsche Bellevue - Project -","AutoNation","989252","11/13/2017","",""
"BOA - TEXAS - Bayway CDJR","RouteOne","989580","3/25/2018","",""
"BOA - KENTUCKY - Carvana Louisville","Failure to Launch","990062","3/28/2019","",""
"BOA - MICHIGAN - Carvana Detroit","Failure to Launch","990065","3/28/2019","",""


"BoA - Projects On Hold"
"Copyright (c) 2000-2020 salesforce.com, inc. All rights reserved."
"Confidential Information - Do Not Distribute"
"Generated By:  Darin Cassler  7/13/2020 10:14 AM"
"Dealertrack Technologies"
